collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024131397731,2024,131397731,2,1,1,2,30,6,3,0,0,0,0,0,9,5,E01010668,3,1,0.0,1.0,1
2024131445771,2024,131445771,1,1,1,1,49,8,3,0,0,0,0,0,9,2,E01033692,3,1,0.0,1.0,1
2024131504196,2024,131504196,1,1,2,1,28,6,3,0,0,1,0,0,9,2,E01010621,3,1,0.0,1.0,1
2024131433015,2024,131433015,1,1,3,1,13,3,2,1,1,0,0,-1,0,3,E01011940,5,1,1.0,0.0,1
2024131504558,2024,131504558,2,1,1,1,25,5,3,0,0,0,0,0,1,1,E01010828,3,1,0.0,1.0,1
2024131530194,2024,131530194,2,8,2,2,2,1,3,0,0,2,0,0,9,4,E01034981,3,1,0.0,1.0,3
2024131499999,2024,131499999,1,1,3,1,6,2,3,10,2,0,0,-1,0,3,E01011229,3,1,0.0,1.0,1
2024131427632,2024,131427632,2,3,2,1,26,6,3,0,0,1,0,0,9,1,E01011025,3,1,0.0,1.0,1
2024131421204,2024,131421204,1,1,1,1,56,9,2,0,0,0,0,0,9,7,E01010899,7,1,1.0,0.0,1
2024131394493,2024,131394493,2,1,1,1,28,6,3,0,0,0,0,0,9,5,E01011065,3,1,0.0,1.0,1
2024131396986,2024,131396986,1,1,1,1,79,11,3,0,0,0,0,0,9,7,E01010887,3,1,0.0,1.0,1
2024131484704,2024,131484704,1,1,1,2,44,7,2,0,0,0,0,0,9,4,E01010656,5,1,1.0,0.0,1
2024131483842,2024,131483842,2,4,2,1,40,7,2,0,0,1,0,0,9,2,E01011907,5,1,1.0,0.0,2
2024131458571,2024,131458571,1,1,1,1,65,9,3,0,0,0,0,0,9,8,E01011710,3,1,0.0,1.0,4
2024131478037,2024,131478037,2,1,1,1,39,7,2,0,0,0,0,0,9,4,E01007742,7,1,1.0,0.0,4
